#{"t_start": 1716333781.762395, "env_id": "None"}
r,l,t
-76173.510683,10000,7932.986506
-76173.510683,10000,7949.198389
-76173.510683,10000,7965.448101
-76173.510683,10000,7982.342771
-154605.516014,10000,8010.860186
-154605.516014,10000,8027.434883
-154605.516014,10000,8044.668002
-154605.516014,10000,8061.491587
-154605.516014,10000,8078.057911
-148185.912363,10000,8106.892174
-148185.912363,10000,8123.933361
-148185.912363,10000,8140.29038
-148185.912363,10000,8156.329305
-148185.912363,10000,8174.06052
-22150.475363,10000,8203.110076
-22150.475363,10000,8219.593478
-22150.475363,10000,8237.027887
-22150.475363,10000,8253.381658
-22150.475363,10000,8269.746206
-148382.715387,10000,8297.393392
-148382.715387,10000,8313.772393
-148382.715387,10000,8330.058506
-148382.715387,10000,8346.533607
-148382.715387,10000,8362.7349
16651.513482,10000,8391.245187
16651.513482,10000,8407.754743
16651.513482,10000,8424.627954
16651.513482,10000,8441.01693
16651.513482,10000,8457.392897
-300170.611421,10000,8485.110887
-300170.611421,10000,8500.950392
-300170.611421,10000,8516.699281
-300170.611421,10000,8533.02487
-300170.611421,10000,8550.04544
70441.916825,10000,8579.280305
70441.916825,10000,8597.007193
70441.916825,10000,8613.429098
70441.916825,10000,8629.963917
70441.916825,10000,8646.383449
66497.568139,10000,8675.346565
66497.568139,10000,8693.791641
66497.568139,10000,8710.325623
66497.568139,10000,8726.578967
66497.568139,10000,8742.5949
69784.919271,10000,8771.692218
69784.919271,10000,8788.090734
69784.919271,10000,8807.434904
69784.919271,10000,8828.541123
69784.919271,10000,8847.211079
72717.955872,10000,8880.273061
72717.955872,10000,8898.607491
72717.955872,10000,8916.703136
72717.955872,10000,8934.410609
72717.955872,10000,8951.730345
52927.235314,10000,8980.613046
52927.235314,10000,8997.626972
52927.235314,10000,9014.456759
52927.235314,10000,9031.621283
52927.235314,10000,9050.088561
83218.635336,10000,9081.630399
83218.635336,10000,9099.203393
83218.635336,10000,9116.847344
83218.635336,10000,9134.832282
83218.635336,10000,9151.484501
105662.046513,10000,9179.251503
105662.046513,10000,9196.28312
105662.046513,10000,9213.009661
105662.046513,10000,9229.885226
105662.046513,10000,9246.515668
-13427.058359,10000,9275.01715
-13427.058359,10000,9291.384372
-13427.058359,10000,9307.829366
-13427.058359,10000,9324.154702
-13427.058359,10000,9340.759994
-22347.724385,10000,9368.547593
-22347.724385,10000,9384.938109
-22347.724385,10000,9401.911649
-22347.724385,10000,9418.083856
-22347.724385,10000,9435.656793
61155.784603,10000,9464.186166
61155.784603,10000,9480.494977
61155.784603,10000,9497.533762
61155.784603,10000,9514.644845
61155.784603,10000,9532.037349
67098.36497,10000,9565.250314
67098.36497,10000,9582.974477
67098.36497,10000,9599.817469
67098.36497,10000,9617.210371
67098.36497,10000,9636.636657
35014.41631,10000,9667.469998
35014.41631,10000,9684.504142
